year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1805083PD,1805083E,14782.56,318.2
2010,1805085NPD,1805085E,1208.0,381.84
2010,1805085PD,1805085E,119990.78,318.2
2010,1805087NPD,1805087E,2409.0,381.84
2010,1805087PD,1805087E,17268.98,318.2
2010,1805089NPD,1805089E,7350.0,381.84
2010,1805089PD,1805089E,206190.0,318.2
2010,1805091PD,1805091E,1794.92,318.2
2010,1805093PD,1805093E,3373.48,318.2
2010,1805095NPD,1805095E,1523.0,381.84
2010,1805095PD,1805095E,19942.0,318.2
2010,1805099PD,1805099E,2338.74,318.2
2010,1805101PD,1805101E,917.6,318.2
2010,1806003PD,1806003E,2782.0,163.1
2010,1806007PD,1806007E,1620.56,163.1
2010,1806009PD,1806009E,15076.6,163.1
2010,1806011PD,1806011E,11271.04,149.01594319999998
2010,1806013NPD,1806013E,410.85,195.72
2010,1806013PD,1806013E,672.3,163.1
2010,1806015PD,1806015E,2039.81,163.1
2010,1806017PD,1806017E,105.18,163.1
2010,1806019PD,1806019E,7287.48,163.1
2010,1806021PD,1806021E,6569.1,10.0
2010,1806023NPD,1806023E,1070.0,195.72
2010,1806023PD,1806023E,8664.32,163.1
2010,1806027PD,1806027E,1589.04,163.1
2010,1806031NPD,1806031E,101.5,195.72
2010,1806031PD,1806031E,2642.34,163.1
2010,1806035NPD,1806035E,6.0,195.72
2010,1806035PD,1806035E,4224.36,163.1
2010,1806039PD,1806039E,3961.98,163.1
2010,1806043PD,1806043E,6679.98,163.1
2010,1806045PD,1806045E,1246.41,163.1
2010,1806047PD,1806047E,2272.32,163.1
2010,1806051PD,1806051E,5693.4,163.1
2010,1806053PD,1806053E,1616.52,163.1
2010,1806059NPD,1806059E,75.5,195.72
2010,1806059PD,1806059E,5160.0,163.1
2010,1806061PD,1806061E,8730.0,0.0
2010,1806063PD,1806063E,10773.36,163.1
2010,1806065PD,1806065E,8745.620501000001,163.1
2010,1806067PD,1806067E,12778.74,163.1
2010,1806071NPD,1806071E,149.0,195.72
2010,1806071PD,1806071E,1235.78,163.1
2010,1806073PD,1806073E,2355.0,163.1
2010,1806075PD,1806075E,3716.44,163.1
